case_id,cse_id,opened_at,closed_at,investigation_text,investigator_id,escalated,resolution,alert_ids
CAS-CSE-07-0001,CSE-07,2024-11-30 08:26:29.131052,2024-11-30 08:31:14.392288,Investigated system activity on port 35481. Correlated firewall session logs.,ANA-007,False,Resolved,"[""ALT-CSE-07-00000""]"
CAS-CSE-07-0002,CSE-07,2024-12-02 13:40:39.154380,2024-12-02 13:44:08.842653,Alert investigated. No indicators of compromise found. Closed without escalation.,ANA-007,False,Resolved,"[""ALT-CSE-07-00003""]"
CAS-CSE-07-0003,CSE-07,2024-10-22 14:52:55.066873,2024-10-22 14:56:31.882446,Alert investigated. No indicators of compromise found. Closed without escalation.,ANA-007,False,Resolved,"[""ALT-CSE-07-00004""]"
CAS-CSE-07-0004,CSE-07,2024-11-22 14:46:06.036488,2024-11-22 14:50:09.103932,Investigated system activity on port 36651. Correlated firewall session logs.,ANA-007,False,Resolved,"[""ALT-CSE-07-00005""]"
CAS-CSE-07-0005,CSE-07,2024-10-05 11:46:15.553008,2024-10-05 11:50:32.981380,Alert investigated. No indicators of compromise found. Closed without escalation.,ANA-007,False,Resolved,"[""ALT-CSE-07-00006""]"
CAS-CSE-07-0006,CSE-07,2024-10-27 23:57:00.281956,2024-10-28 00:01:15.634480,Alert investigated. No indicators of compromise found. Closed without escalation.,ANA-007,False,Resolved,"[""ALT-CSE-07-00007""]"
CAS-CSE-07-0007,CSE-07,2024-11-29 20:47:06.679282,2024-11-29 20:50:46.639608,Alert investigated. No indicators of compromise found. Closed without escalation.,ANA-007,False,Resolved,"[""ALT-CSE-07-00008""]"
CAS-CSE-07-0008,CSE-07,2024-12-22 09:22:15.615786,2024-12-22 09:26:38.187221,Alert investigated. No indicators of compromise found. Closed without escalation.,ANA-007,False,Resolved,"[""ALT-CSE-07-00010""]"
CAS-CSE-07-0009,CSE-07,2024-10-09 13:15:48.040905,2024-10-09 13:20:00.599490,Alert investigated. No indicators of compromise found. Closed without escalation.,ANA-007,False,Resolved,"[""ALT-CSE-07-00011""]"
CAS-CSE-07-0010,CSE-07,2024-10-28 01:17:43.610928,2024-10-28 01:22:16.621334,Alert investigated. No indicators of compromise found. Closed without escalation.,ANA-007,True,Resolved,"[""ALT-CSE-07-00012""]"
CAS-CSE-07-0011,CSE-07,2024-12-06 23:32:10.652027,2024-12-06 23:36:16.730893,Alert investigated. No indicators of compromise found. Closed without escalation.,ANA-007,False,Resolved,"[""ALT-CSE-07-00013""]"
CAS-CSE-07-0012,CSE-07,2024-12-12 21:02:29.066726,2024-12-12 21:07:07.659396,Investigated system activity on port 62913. Correlated firewall session logs.,ANA-007,False,Resolved,"[""ALT-CSE-07-00014""]"
CAS-CSE-07-0013,CSE-07,2024-11-22 12:22:03.825509,2024-11-22 12:26:41.781555,Alert investigated. No indicators of compromise found. Closed without escalation.,ANA-007,False,Resolved,"[""ALT-CSE-07-00015""]"
CAS-CSE-07-0014,CSE-07,2024-10-04 17:25:30.081714,2024-10-04 17:28:50.526158,Investigated system activity on port 41005. Correlated firewall session logs.,ANA-007,False,Resolved,"[""ALT-CSE-07-00016""]"
CAS-CSE-07-0015,CSE-07,2024-12-07 10:50:39.091402,2024-12-07 10:54:42.431735,Alert investigated. No indicators of compromise found. Closed without escalation.,ANA-007,False,Resolved,"[""ALT-CSE-07-00017""]"
CAS-CSE-07-0016,CSE-07,2024-10-16 05:19:33.224772,2024-10-16 05:23:34.829236,Investigated system activity on port 49469. Correlated firewall session logs.,ANA-007,False,Resolved,"[""ALT-CSE-07-00018""]"
CAS-CSE-07-0017,CSE-07,2024-10-27 14:41:39.845963,2024-10-27 14:45:27.826631,Investigated system activity on port 50908. Correlated firewall session logs.,ANA-007,False,Resolved,"[""ALT-CSE-07-00019""]"
CAS-CSE-07-0018,CSE-07,2024-11-09 17:34:58.826255,2024-11-09 17:38:05.272399,Alert investigated. No indicators of compromise found. Closed without escalation.,ANA-007,False,Resolved,"[""ALT-CSE-07-00020""]"
CAS-CSE-07-0019,CSE-07,2024-10-17 18:07:41.026309,2024-10-17 18:11:13.965714,Alert investigated. No indicators of compromise found. Closed without escalation.,ANA-007,False,Resolved,"[""ALT-CSE-07-00021""]"
CAS-CSE-07-0020,CSE-07,2024-12-11 22:52:53.181059,2024-12-11 22:57:06.751235,Alert investigated. No indicators of compromise found. Closed without escalation.,ANA-007,False,Resolved,"[""ALT-CSE-07-00022""]"
CAS-CSE-07-0021,CSE-07,2024-10-18 04:11:27.463792,2024-10-18 04:15:33.564002,Alert investigated. No indicators of compromise found. Closed without escalation.,ANA-007,False,Resolved,"[""ALT-CSE-07-00023""]"
CAS-CSE-07-0022,CSE-07,2024-10-22 04:58:20.369148,2024-10-22 05:02:19.874543,Investigated system activity on port 28403. Correlated firewall session logs.,ANA-007,False,Resolved,"[""ALT-CSE-07-00024""]"
CAS-CSE-07-0023,CSE-07,2024-12-25 00:50:07.335707,2024-12-25 00:54:39.846611,Investigated system activity on port 15045. Correlated firewall session logs.,ANA-007,False,Resolved,"[""ALT-CSE-07-00025""]"
CAS-CSE-07-0024,CSE-07,2024-11-25 18:12:21.115159,2024-11-25 18:15:55.224606,Alert investigated. No indicators of compromise found. Closed without escalation.,ANA-007,False,Resolved,"[""ALT-CSE-07-00026""]"
CAS-CSE-07-0025,CSE-07,2024-12-03 17:23:59.201494,2024-12-03 17:28:37.754682,Alert investigated. No indicators of compromise found. Closed without escalation.,ANA-007,False,Resolved,"[""ALT-CSE-07-00027""]"
CAS-CSE-07-0026,CSE-07,2024-12-02 06:02:55.417633,2024-12-02 06:07:06.130939,Investigated system activity on port 44513. Correlated firewall session logs.,ANA-007,False,Resolved,"[""ALT-CSE-07-00028""]"
CAS-CSE-07-0027,CSE-07,2024-10-23 00:26:27.938633,2024-10-23 00:30:56.205725,Investigated system activity on port 22487. Correlated firewall session logs.,ANA-007,False,Resolved,"[""ALT-CSE-07-00029""]"
CAS-CSE-07-0028,CSE-07,2024-10-25 10:05:13.423005,2024-10-25 10:09:13.674779,Investigated system activity on port 34204. Correlated firewall session logs.,ANA-007,False,Resolved,"[""ALT-CSE-07-00030""]"
CAS-CSE-07-0029,CSE-07,2024-11-03 07:57:12.098294,2024-11-03 08:01:48.412333,Alert investigated. No indicators of compromise found. Closed without escalation.,ANA-007,False,Resolved,"[""ALT-CSE-07-00031""]"
CAS-CSE-07-0030,CSE-07,2024-12-26 20:29:00.178148,2024-12-26 20:32:30.501050,Alert investigated. No indicators of compromise found. Closed without escalation.,ANA-007,False,Resolved,"[""ALT-CSE-07-00032""]"
CAS-CSE-07-0031,CSE-07,2024-12-15 06:11:12.790117,2024-12-15 06:15:18.857804,Alert investigated. No indicators of compromise found. Closed without escalation.,ANA-007,True,Resolved,"[""ALT-CSE-07-00033""]"
CAS-CSE-07-0032,CSE-07,2024-12-07 11:16:21.060921,2024-12-07 11:20:19.525253,Alert investigated. No indicators of compromise found. Closed without escalation.,ANA-007,False,Resolved,"[""ALT-CSE-07-00034""]"
CAS-CSE-07-0033,CSE-07,2024-10-06 02:11:39.472221,2024-10-06 02:15:26.252800,Alert investigated. No indicators of compromise found. Closed without escalation.,ANA-007,False,Resolved,"[""ALT-CSE-07-00035""]"
CAS-CSE-07-0034,CSE-07,2024-12-01 03:05:37.529485,2024-12-01 03:09:34.391373,Alert investigated. No indicators of compromise found. Closed without escalation.,ANA-007,False,Resolved,"[""ALT-CSE-07-00037""]"
CAS-CSE-07-0035,CSE-07,2024-12-25 14:27:25.086472,2024-12-25 14:31:41.984516,Alert investigated. No indicators of compromise found. Closed without escalation.,ANA-007,False,Resolved,"[""ALT-CSE-07-00039""]"
CAS-CSE-07-0036,CSE-07,2024-10-19 20:43:13.284502,2024-10-19 20:47:21.599489,Investigated system activity on port 17205. Correlated firewall session logs.,ANA-007,False,Resolved,"[""ALT-CSE-07-00040""]"
CAS-CSE-07-0037,CSE-07,2024-11-08 16:07:55.885300,2024-11-08 16:11:08.475425,Alert investigated. No indicators of compromise found. Closed without escalation.,ANA-007,False,Resolved,"[""ALT-CSE-07-00041""]"
CAS-CSE-07-0038,CSE-07,2024-12-23 14:05:40.951073,2024-12-23 14:10:04.227118,Alert investigated. No indicators of compromise found. Closed without escalation.,ANA-007,False,Resolved,"[""ALT-CSE-07-00042""]"
CAS-CSE-07-0039,CSE-07,2024-10-07 07:30:25.350092,2024-10-07 07:33:50.025053,Alert investigated. No indicators of compromise found. Closed without escalation.,ANA-007,False,Resolved,"[""ALT-CSE-07-00043""]"
CAS-CSE-07-0040,CSE-07,2024-11-12 01:15:43.889995,2024-11-12 01:19:11.451054,Alert investigated. No indicators of compromise found. Closed without escalation.,ANA-007,False,Resolved,"[""ALT-CSE-07-00044""]"
CAS-CSE-07-0041,CSE-07,2024-11-24 05:39:19.587584,2024-11-24 05:42:59.591960,Investigated system activity on port 61511. Correlated firewall session logs.,ANA-007,False,Resolved,"[""ALT-CSE-07-00045""]"
CAS-CSE-07-0042,CSE-07,2024-11-17 19:45:07.011361,2024-11-17 19:48:39.182095,Alert investigated. No indicators of compromise found. Closed without escalation.,ANA-007,False,Resolved,"[""ALT-CSE-07-00046""]"
CAS-CSE-07-0043,CSE-07,2024-10-26 03:21:51.926256,2024-10-26 03:26:26.966211,Alert investigated. No indicators of compromise found. Closed without escalation.,ANA-007,False,Resolved,"[""ALT-CSE-07-00047""]"
CAS-CSE-07-0044,CSE-07,2024-12-20 23:50:55.701938,2024-12-20 23:55:23.468950,Alert investigated. No indicators of compromise found. Closed without escalation.,ANA-007,False,Resolved,"[""ALT-CSE-07-00048""]"
CAS-CSE-07-0045,CSE-07,2024-11-01 17:53:57.517683,2024-11-01 17:57:28.629190,Investigated system activity on port 18378. Correlated firewall session logs.,ANA-007,False,Resolved,"[""ALT-CSE-07-00049""]"
CAS-CSE-07-0046,CSE-07,2024-10-10 13:06:38.707050,2024-10-10 13:10:14.532012,Investigated system activity on port 14466. Correlated firewall session logs.,ANA-007,False,Resolved,"[""ALT-CSE-07-00050""]"
CAS-CSE-07-0047,CSE-07,2024-12-13 17:41:14.608582,2024-12-13 17:45:34.413844,Alert investigated. No indicators of compromise found. Closed without escalation.,ANA-007,False,Resolved,"[""ALT-CSE-07-00051""]"
CAS-CSE-07-0048,CSE-07,2024-10-16 03:39:18.871676,2024-10-16 03:43:51.656598,Alert investigated. No indicators of compromise found. Closed without escalation.,ANA-007,False,Resolved,"[""ALT-CSE-07-00052""]"
CAS-CSE-07-0049,CSE-07,2024-12-07 22:38:55.530952,2024-12-07 22:43:13.476910,Investigated system activity on port 8462. Correlated firewall session logs.,ANA-007,False,Resolved,"[""ALT-CSE-07-00053""]"
CAS-CSE-07-0050,CSE-07,2024-10-06 14:20:33.174579,2024-10-06 14:23:33.113762,Alert investigated. No indicators of compromise found. Closed without escalation.,ANA-007,False,Resolved,"[""ALT-CSE-07-00054""]"
CAS-CSE-07-0051,CSE-07,2024-10-10 15:20:14.960959,2024-10-10 15:24:25.928435,Investigated system activity on port 65243. Correlated firewall session logs.,ANA-007,True,Resolved,"[""ALT-CSE-07-00056""]"
CAS-CSE-07-0052,CSE-07,2024-10-25 10:19:55.921413,2024-10-25 10:24:34.961184,Alert investigated. No indicators of compromise found. Closed without escalation.,ANA-007,False,Resolved,"[""ALT-CSE-07-00057""]"
CAS-CSE-07-0053,CSE-07,2024-12-20 08:41:38.025418,2024-12-20 08:45:33.305401,Alert investigated. No indicators of compromise found. Closed without escalation.,ANA-007,False,Resolved,"[""ALT-CSE-07-00058""]"
CAS-CSE-07-0054,CSE-07,2024-10-25 13:31:38.376988,2024-10-25 13:35:31.475004,Alert investigated. No indicators of compromise found. Closed without escalation.,ANA-007,False,Resolved,"[""ALT-CSE-07-00059""]"
CAS-CSE-07-0055,CSE-07,2024-11-20 10:57:13.881905,2024-11-20 11:01:16.809128,Alert investigated. No indicators of compromise found. Closed without escalation.,ANA-007,False,Resolved,"[""ALT-CSE-07-00060""]"
