alert_id,cse_id,severity,created_at,acknowledged_at,closed_at,status,case_id,asset_id,escalated
ALT-CSE-07-00000,CSE-07,CRITICAL,2024-11-30T08:25:59,2024-11-30T08:26:29.131052,2024-11-30T08:31:14.392288,CLOSED,CAS-CSE-07-0001,FIREWALL-07,False
ALT-CSE-07-00001,CSE-07,CRITICAL,2024-10-31T20:57:22,2024-10-31T20:58:20.758294,2024-10-31T21:02:27.139486,CLOSED,,FIREWALL-07,False
ALT-CSE-07-00002,CSE-07,CRITICAL,2024-10-07T11:57:51,2024-10-07T11:59:15.767262,2024-10-07T12:02:53.684810,CLOSED,,DB-SERVER-07,False
ALT-CSE-07-00003,CSE-07,CRITICAL,2024-12-02T13:39:02,2024-12-02T13:40:39.154380,2024-12-02T13:44:08.842653,CLOSED,CAS-CSE-07-0002,FIREWALL-07,False
ALT-CSE-07-00004,CSE-07,CRITICAL,2024-10-22T14:51:26,2024-10-22T14:52:55.066873,2024-10-22T14:56:31.882446,CLOSED,CAS-CSE-07-0003,ENDPOINT-07,False
ALT-CSE-07-00005,CSE-07,CRITICAL,2024-11-22T14:44:46,2024-11-22T14:46:06.036488,2024-11-22T14:50:09.103932,CLOSED,CAS-CSE-07-0004,ENDPOINT-07,False
ALT-CSE-07-00006,CSE-07,CRITICAL,2024-10-05T11:45:26,2024-10-05T11:46:15.553008,2024-10-05T11:50:32.981380,CLOSED,CAS-CSE-07-0005,WEB-SERVER-07,False
ALT-CSE-07-00007,CSE-07,CRITICAL,2024-10-27T23:56:08,2024-10-27T23:57:00.281956,2024-10-28T00:01:15.634480,CLOSED,CAS-CSE-07-0006,ENDPOINT-07,False
ALT-CSE-07-00008,CSE-07,CRITICAL,2024-11-29T20:45:28,2024-11-29T20:47:06.679282,2024-11-29T20:50:46.639608,CLOSED,CAS-CSE-07-0007,DB-SERVER-07,False
ALT-CSE-07-00009,CSE-07,CRITICAL,2024-12-04T04:11:35,2024-12-04T04:12:59.565253,2024-12-04T04:16:45.859296,CLOSED,,DB-SERVER-07,False
ALT-CSE-07-00010,CSE-07,CRITICAL,2024-12-22T09:21:28,2024-12-22T09:22:15.615786,2024-12-22T09:26:38.187221,CLOSED,CAS-CSE-07-0008,DB-SERVER-07,False
ALT-CSE-07-00011,CSE-07,CRITICAL,2024-10-09T13:14:59,2024-10-09T13:15:48.040905,2024-10-09T13:20:00.599490,CLOSED,CAS-CSE-07-0009,ENDPOINT-07,False
ALT-CSE-07-00012,CSE-07,CRITICAL,2024-10-28T01:16:53,2024-10-28T01:17:43.610928,2024-10-28T01:22:16.621334,CLOSED,CAS-CSE-07-0010,FIREWALL-07,False
ALT-CSE-07-00013,CSE-07,CRITICAL,2024-12-06T23:31:03,2024-12-06T23:32:10.652027,2024-12-06T23:36:16.730893,CLOSED,CAS-CSE-07-0011,DB-SERVER-07,False
ALT-CSE-07-00014,CSE-07,CRITICAL,2024-12-12T21:01:46,2024-12-12T21:02:29.066726,2024-12-12T21:07:07.659396,CLOSED,CAS-CSE-07-0012,WEB-SERVER-07,False
ALT-CSE-07-00015,CSE-07,CRITICAL,2024-11-22T12:21:26,2024-11-22T12:22:03.825509,2024-11-22T12:26:41.781555,CLOSED,CAS-CSE-07-0013,DB-SERVER-07,False
ALT-CSE-07-00016,CSE-07,CRITICAL,2024-10-04T17:23:38,2024-10-04T17:25:30.081714,2024-10-04T17:28:50.526158,CLOSED,CAS-CSE-07-0014,ENDPOINT-07,False
ALT-CSE-07-00017,CSE-07,CRITICAL,2024-12-07T10:49:29,2024-12-07T10:50:39.091402,2024-12-07T10:54:42.431735,CLOSED,CAS-CSE-07-0015,FIREWALL-07,False
ALT-CSE-07-00018,CSE-07,CRITICAL,2024-10-16T05:18:20,2024-10-16T05:19:33.224772,2024-10-16T05:23:34.829236,CLOSED,CAS-CSE-07-0016,DB-SERVER-07,False
ALT-CSE-07-00019,CSE-07,CRITICAL,2024-10-27T14:40:24,2024-10-27T14:41:39.845963,2024-10-27T14:45:27.826631,CLOSED,CAS-CSE-07-0017,DB-SERVER-07,False
ALT-CSE-07-00020,CSE-07,CRITICAL,2024-11-09T17:33:01,2024-11-09T17:34:58.826255,2024-11-09T17:38:05.272399,CLOSED,CAS-CSE-07-0018,ENDPOINT-07,False
ALT-CSE-07-00021,CSE-07,CRITICAL,2024-10-17T18:05:58,2024-10-17T18:07:41.026309,2024-10-17T18:11:13.965714,CLOSED,CAS-CSE-07-0019,WEB-SERVER-07,False
ALT-CSE-07-00022,CSE-07,CRITICAL,2024-12-11T22:52:03,2024-12-11T22:52:53.181059,2024-12-11T22:57:06.751235,CLOSED,CAS-CSE-07-0020,WEB-SERVER-07,False
ALT-CSE-07-00023,CSE-07,CRITICAL,2024-10-18T04:10:25,2024-10-18T04:11:27.463792,2024-10-18T04:15:33.564002,CLOSED,CAS-CSE-07-0021,FIREWALL-07,False
ALT-CSE-07-00024,CSE-07,CRITICAL,2024-10-22T04:56:58,2024-10-22T04:58:20.369148,2024-10-22T05:02:19.874543,CLOSED,CAS-CSE-07-0022,ENDPOINT-07,False
ALT-CSE-07-00025,CSE-07,CRITICAL,2024-12-25T00:49:23,2024-12-25T00:50:07.335707,2024-12-25T00:54:39.846611,CLOSED,CAS-CSE-07-0023,WEB-SERVER-07,False
ALT-CSE-07-00026,CSE-07,CRITICAL,2024-11-25T18:11:00,2024-11-25T18:12:21.115159,2024-11-25T18:15:55.224606,CLOSED,CAS-CSE-07-0024,ENDPOINT-07,False
ALT-CSE-07-00027,CSE-07,CRITICAL,2024-12-03T17:23:19,2024-12-03T17:23:59.201494,2024-12-03T17:28:37.754682,CLOSED,CAS-CSE-07-0025,WEB-SERVER-07,False
ALT-CSE-07-00028,CSE-07,CRITICAL,2024-12-02T06:02:11,2024-12-02T06:02:55.417633,2024-12-02T06:07:06.130939,CLOSED,CAS-CSE-07-0026,ENDPOINT-07,False
ALT-CSE-07-00029,CSE-07,CRITICAL,2024-10-23T00:25:56,2024-10-23T00:26:27.938633,2024-10-23T00:30:56.205725,CLOSED,CAS-CSE-07-0027,WEB-SERVER-07,False
ALT-CSE-07-00030,CSE-07,CRITICAL,2024-10-25T10:03:57,2024-10-25T10:05:13.423005,2024-10-25T10:09:13.674779,CLOSED,CAS-CSE-07-0028,WEB-SERVER-07,False
ALT-CSE-07-00031,CSE-07,CRITICAL,2024-11-03T07:56:32,2024-11-03T07:57:12.098294,2024-11-03T08:01:48.412333,CLOSED,CAS-CSE-07-0029,DB-SERVER-07,False
ALT-CSE-07-00032,CSE-07,CRITICAL,2024-12-26T20:27:06,2024-12-26T20:29:00.178148,2024-12-26T20:32:30.501050,CLOSED,CAS-CSE-07-0030,WEB-SERVER-07,False
ALT-CSE-07-00033,CSE-07,CRITICAL,2024-12-15T06:10:17,2024-12-15T06:11:12.790117,2024-12-15T06:15:18.857804,CLOSED,CAS-CSE-07-0031,WEB-SERVER-07,False
ALT-CSE-07-00034,CSE-07,CRITICAL,2024-12-07T11:15:02,2024-12-07T11:16:21.060921,2024-12-07T11:20:19.525253,CLOSED,CAS-CSE-07-0032,FIREWALL-07,False
ALT-CSE-07-00035,CSE-07,CRITICAL,2024-10-06T02:10:26,2024-10-06T02:11:39.472221,2024-10-06T02:15:26.252800,CLOSED,CAS-CSE-07-0033,ENDPOINT-07,False
ALT-CSE-07-00036,CSE-07,CRITICAL,2024-11-24T06:39:37,2024-11-24T06:40:15.328407,2024-11-24T06:44:39.530582,CLOSED,,ENDPOINT-07,False
ALT-CSE-07-00037,CSE-07,CRITICAL,2024-12-01T03:04:25,2024-12-01T03:05:37.529485,2024-12-01T03:09:34.391373,CLOSED,CAS-CSE-07-0034,ENDPOINT-07,False
ALT-CSE-07-00038,CSE-07,CRITICAL,2024-12-11T08:10:11,2024-12-11T08:11:19.744405,2024-12-11T08:15:47.986069,CLOSED,,DB-SERVER-07,False
ALT-CSE-07-00039,CSE-07,CRITICAL,2024-12-25T14:26:35,2024-12-25T14:27:25.086472,2024-12-25T14:31:41.984516,CLOSED,CAS-CSE-07-0035,FIREWALL-07,False
ALT-CSE-07-00040,CSE-07,CRITICAL,2024-10-19T20:42:14,2024-10-19T20:43:13.284502,2024-10-19T20:47:21.599489,CLOSED,CAS-CSE-07-0036,WEB-SERVER-07,False
ALT-CSE-07-00041,CSE-07,CRITICAL,2024-11-08T16:05:59,2024-11-08T16:07:55.885300,2024-11-08T16:11:08.475425,CLOSED,CAS-CSE-07-0037,ENDPOINT-07,False
ALT-CSE-07-00042,CSE-07,CRITICAL,2024-12-23T14:05:04,2024-12-23T14:05:40.951073,2024-12-23T14:10:04.227118,CLOSED,CAS-CSE-07-0038,ENDPOINT-07,False
ALT-CSE-07-00043,CSE-07,CRITICAL,2024-10-07T07:28:39,2024-10-07T07:30:25.350092,2024-10-07T07:33:50.025053,CLOSED,CAS-CSE-07-0039,DB-SERVER-07,False
ALT-CSE-07-00044,CSE-07,CRITICAL,2024-11-12T01:13:49,2024-11-12T01:15:43.889995,2024-11-12T01:19:11.451054,CLOSED,CAS-CSE-07-0040,DB-SERVER-07,False
ALT-CSE-07-00045,CSE-07,CRITICAL,2024-11-24T05:37:58,2024-11-24T05:39:19.587584,2024-11-24T05:42:59.591960,CLOSED,CAS-CSE-07-0041,WEB-SERVER-07,False
ALT-CSE-07-00046,CSE-07,CRITICAL,2024-11-17T19:43:16,2024-11-17T19:45:07.011361,2024-11-17T19:48:39.182095,CLOSED,CAS-CSE-07-0042,FIREWALL-07,False
ALT-CSE-07-00047,CSE-07,CRITICAL,2024-10-26T03:21:17,2024-10-26T03:21:51.926256,2024-10-26T03:26:26.966211,CLOSED,CAS-CSE-07-0043,FIREWALL-07,False
ALT-CSE-07-00048,CSE-07,CRITICAL,2024-12-20T23:50:24,2024-12-20T23:50:55.701938,2024-12-20T23:55:23.468950,CLOSED,CAS-CSE-07-0044,WEB-SERVER-07,False
ALT-CSE-07-00049,CSE-07,CRITICAL,2024-11-01T17:52:01,2024-11-01T17:53:57.517683,2024-11-01T17:57:28.629190,CLOSED,CAS-CSE-07-0045,WEB-SERVER-07,False
ALT-CSE-07-00050,CSE-07,CRITICAL,2024-10-10T13:05:01,2024-10-10T13:06:38.707050,2024-10-10T13:10:14.532012,CLOSED,CAS-CSE-07-0046,WEB-SERVER-07,False
ALT-CSE-07-00051,CSE-07,CRITICAL,2024-12-13T17:40:18,2024-12-13T17:41:14.608582,2024-12-13T17:45:34.413844,CLOSED,CAS-CSE-07-0047,DB-SERVER-07,False
ALT-CSE-07-00052,CSE-07,CRITICAL,2024-10-16T03:38:43,2024-10-16T03:39:18.871676,2024-10-16T03:43:51.656598,CLOSED,CAS-CSE-07-0048,ENDPOINT-07,False
ALT-CSE-07-00053,CSE-07,CRITICAL,2024-12-07T22:38:14,2024-12-07T22:38:55.530952,2024-12-07T22:43:13.476910,CLOSED,CAS-CSE-07-0049,DB-SERVER-07,False
ALT-CSE-07-00054,CSE-07,CRITICAL,2024-10-06T14:18:35,2024-10-06T14:20:33.174579,2024-10-06T14:23:33.113762,CLOSED,CAS-CSE-07-0050,DB-SERVER-07,False
ALT-CSE-07-00055,CSE-07,CRITICAL,2024-11-04T18:52:25,2024-11-04T18:54:08.559850,2024-11-04T18:57:47.957749,CLOSED,,ENDPOINT-07,False
ALT-CSE-07-00056,CSE-07,CRITICAL,2024-10-10T15:19:13,2024-10-10T15:20:14.960959,2024-10-10T15:24:25.928435,CLOSED,CAS-CSE-07-0051,ENDPOINT-07,False
ALT-CSE-07-00057,CSE-07,CRITICAL,2024-10-25T10:19:23,2024-10-25T10:19:55.921413,2024-10-25T10:24:34.961184,CLOSED,CAS-CSE-07-0052,ENDPOINT-07,False
ALT-CSE-07-00058,CSE-07,CRITICAL,2024-12-20T08:40:07,2024-12-20T08:41:38.025418,2024-12-20T08:45:33.305401,CLOSED,CAS-CSE-07-0053,FIREWALL-07,False
ALT-CSE-07-00059,CSE-07,CRITICAL,2024-10-25T13:30:35,2024-10-25T13:31:38.376988,2024-10-25T13:35:31.475004,CLOSED,CAS-CSE-07-0054,FIREWALL-07,False
ALT-CSE-07-00060,CSE-07,CRITICAL,2024-11-20T10:56:11,2024-11-20T10:57:13.881905,2024-11-20T11:01:16.809128,CLOSED,CAS-CSE-07-0055,WEB-SERVER-07,False
ALT-CSE-07-00061,CSE-07,CRITICAL,2024-12-03T05:46:18,2024-12-03T05:47:08.163435,2024-12-03T05:51:27.086440,CLOSED,CAS-CSE-07-0056,ENDPOINT-07,False
ALT-CSE-07-00062,CSE-07,CRITICAL,2024-12-22T16:57:27,2024-12-22T16:59:16.325814,2024-12-22T17:02:34.058832,CLOSED,,WEB-SERVER-07,False
ALT-CSE-07-00063,CSE-07,CRITICAL,2024-10-28T07:55:21,2024-10-28T07:57:01.191924,2024-10-28T08:00:40.526617,CLOSED,CAS-CSE-07-0057,ENDPOINT-07,False
ALT-CSE-07-00064,CSE-07,CRITICAL,2024-10-27T13:52:34,2024-10-27T13:54:27.049663,2024-10-27T13:57:51.498037,CLOSED,CAS-CSE-07-0058,FIREWALL-07,False
ALT-CSE-07-00065,CSE-07,CRITICAL,2024-12-08T22:06:34,2024-12-08T22:07:31.181237,2024-12-08T22:11:32.947044,CLOSED,CAS-CSE-07-0059,ENDPOINT-07,False
ALT-CSE-07-00066,CSE-07,CRITICAL,2024-12-04T17:40:07,2024-12-04T17:40:58.170156,2024-12-04T17:45:04.339438,CLOSED,CAS-CSE-07-0060,FIREWALL-07,False
ALT-CSE-07-00067,CSE-07,CRITICAL,2024-10-15T20:56:05,2024-10-15T20:56:38.106574,2024-10-15T21:01:24.246952,CLOSED,CAS-CSE-07-0061,WEB-SERVER-07,False
ALT-CSE-07-00068,CSE-07,CRITICAL,2024-10-02T21:00:41,2024-10-02T21:01:21.158865,2024-10-02T21:05:44.596841,CLOSED,CAS-CSE-07-0062,DB-SERVER-07,False
ALT-CSE-07-00069,CSE-07,CRITICAL,2024-10-17T07:30:13,2024-10-17T07:31:25.407920,2024-10-17T07:35:19.042184,CLOSED,CAS-CSE-07-0063,ENDPOINT-07,False
ALT-CSE-07-00070,CSE-07,CRITICAL,2024-12-24T17:58:28,2024-12-24T18:00:14.539483,2024-12-24T18:03:35.918099,CLOSED,CAS-CSE-07-0064,DB-SERVER-07,False
ALT-CSE-07-00071,CSE-07,CRITICAL,2024-12-14T18:17:28,2024-12-14T18:18:08.623108,2024-12-14T18:22:46.353445,CLOSED,,DB-SERVER-07,False
ALT-CSE-07-00072,CSE-07,CRITICAL,2024-12-24T11:07:45,2024-12-24T11:08:59.987078,2024-12-24T11:13:11.033262,CLOSED,CAS-CSE-07-0065,FIREWALL-07,False
ALT-CSE-07-00073,CSE-07,CRITICAL,2024-10-25T21:00:39,2024-10-25T21:01:23.733188,2024-10-25T21:05:35.346755,CLOSED,CAS-CSE-07-0066,FIREWALL-07,False
ALT-CSE-07-00074,CSE-07,CRITICAL,2024-10-22T12:46:59,2024-10-22T12:47:33.615696,2024-10-22T12:52:21.725342,CLOSED,CAS-CSE-07-0067,FIREWALL-07,False
ALT-CSE-07-00075,CSE-07,CRITICAL,2024-11-24T02:24:15,2024-11-24T02:25:03.204911,2024-11-24T02:29:10.346758,CLOSED,CAS-CSE-07-0068,WEB-SERVER-07,False
