case_id,cse_id,opened_at,closed_at,investigation_text,investigator_id,escalated,resolution,alert_ids
CAS-CSE-11-0001,CSE-11,2024-11-10 02:08:28.513299,2024-11-10 03:03:07.981791,Valid investigation for ALT-CSE-11-00003. Checked systems.,ANA-02,True,Resolved,"[""ALT-CSE-11-00003""]"
CAS-CSE-11-0002,CSE-11,2024-10-09 19:16:24.568550,2024-10-09 19:50:02.056289,Valid investigation for ALT-CSE-11-00005. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00005""]"
CAS-CSE-11-0003,CSE-11,2024-11-29 07:44:27.230563,2024-11-29 08:31:14.797935,Valid investigation for ALT-CSE-11-00009. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00009""]"
CAS-CSE-11-0004,CSE-11,2024-11-04 00:49:42.913517,2024-11-04 02:17:35.644746,Valid investigation for ALT-CSE-11-00018. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00018""]"
CAS-CSE-11-0005,CSE-11,2024-11-12 17:06:26.829067,2024-11-12 18:04:25.071947,Valid investigation for ALT-CSE-11-00020. Checked systems.,ANA-02,False,Resolved,"[""ALT-CSE-11-00020""]"
CAS-CSE-11-0006,CSE-11,2024-12-25 20:06:01.596055,2024-12-25 20:28:21.433060,Valid investigation for ALT-CSE-11-00025. Checked systems.,ANA-01,True,Resolved,"[""ALT-CSE-11-00025""]"
CAS-CSE-11-0007,CSE-11,2024-11-07 17:02:25.573634,2024-11-07 17:54:40.849147,Valid investigation for ALT-CSE-11-00026. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00026""]"
CAS-CSE-11-0008,CSE-11,2024-10-31 22:32:39.350789,2024-10-31 22:53:45.449698,Valid investigation for ALT-CSE-11-00028. Checked systems.,ANA-02,True,Resolved,"[""ALT-CSE-11-00028""]"
CAS-CSE-11-0009,CSE-11,2024-10-02 01:50:33.678009,2024-10-02 02:23:15.232748,Valid investigation for ALT-CSE-11-00031. Checked systems.,ANA-02,False,Resolved,"[""ALT-CSE-11-00031""]"
CAS-CSE-11-0010,CSE-11,2024-11-12 14:39:24.028386,2024-11-12 16:06:48.952187,Valid investigation for ALT-CSE-11-00032. Checked systems.,ANA-02,False,Resolved,"[""ALT-CSE-11-00032""]"
CAS-CSE-11-0011,CSE-11,2024-11-27 11:55:26.210790,2024-11-27 13:00:14.800032,Valid investigation for ALT-CSE-11-00035. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00035""]"
CAS-CSE-11-0012,CSE-11,2024-11-05 12:21:57.713247,2024-11-05 13:36:12.552227,Valid investigation for ALT-CSE-11-00039. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00039""]"
CAS-CSE-11-0013,CSE-11,2024-11-25 13:14:26.694155,2024-11-25 14:00:36.858817,Valid investigation for ALT-CSE-11-00042. Checked systems.,ANA-03,True,Resolved,"[""ALT-CSE-11-00042""]"
CAS-CSE-11-0014,CSE-11,2024-11-08 21:09:40.653184,2024-11-08 22:29:42.612999,Valid investigation for ALT-CSE-11-00046. Checked systems.,ANA-02,False,Resolved,"[""ALT-CSE-11-00046""]"
CAS-CSE-11-0015,CSE-11,2024-12-09 12:42:28.128073,2024-12-09 13:30:15.870962,Valid investigation for ALT-CSE-11-00055. Checked systems.,ANA-02,False,Resolved,"[""ALT-CSE-11-00055""]"
CAS-CSE-11-0016,CSE-11,2024-10-20 05:18:14.454227,2024-10-20 05:23:43.443525,Valid investigation for ALT-CSE-11-00058. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00058""]"
CAS-CSE-11-0017,CSE-11,2024-12-18 15:05:30.972691,2024-12-18 15:11:49.212862,Valid investigation for ALT-CSE-11-00060. Checked systems.,ANA-02,False,Resolved,"[""ALT-CSE-11-00060""]"
CAS-CSE-11-0018,CSE-11,2024-10-22 19:39:22.672447,2024-10-22 21:02:12.059490,Valid investigation for ALT-CSE-11-00063. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00063""]"
CAS-CSE-11-0019,CSE-11,2024-11-13 00:51:00.735809,2024-11-13 01:08:26.510526,Valid investigation for ALT-CSE-11-00065. Checked systems.,ANA-02,False,Resolved,"[""ALT-CSE-11-00065""]"
CAS-CSE-11-0020,CSE-11,2024-12-05 14:09:57.597605,2024-12-05 14:57:58.993830,Valid investigation for ALT-CSE-11-00066. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00066""]"
CAS-CSE-11-0021,CSE-11,2024-12-11 21:59:22.942325,2024-12-11 23:12:57.897490,Valid investigation for ALT-CSE-11-00069. Checked systems.,ANA-02,False,Resolved,"[""ALT-CSE-11-00069""]"
CAS-CSE-11-0022,CSE-11,2024-10-20 01:52:11.191919,2024-10-20 02:25:09.909443,Valid investigation for ALT-CSE-11-00077. Checked systems.,ANA-02,True,Resolved,"[""ALT-CSE-11-00077""]"
CAS-CSE-11-0023,CSE-11,2024-10-05 12:38:39.176187,2024-10-05 12:34:35.000000,Valid investigation for ALT-CSE-11-00080. Checked systems.,ANA-02,True,Resolved,"[""ALT-CSE-11-00080""]"
CAS-CSE-11-0024,CSE-11,2024-11-21 13:34:01.432944,2024-11-21 14:39:42.329588,Valid investigation for ALT-CSE-11-00083. Checked systems.,ANA-02,True,Resolved,"[""ALT-CSE-11-00083""]"
CAS-CSE-11-0025,CSE-11,2024-10-23 05:22:29.921377,2024-10-23 06:40:48.624991,Valid investigation for ALT-CSE-11-00085. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00085""]"
CAS-CSE-11-0026,CSE-11,2024-12-04 07:43:58.771887,2024-12-04 08:10:47.193709,Valid investigation for ALT-CSE-11-00086. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00086""]"
CAS-CSE-11-0027,CSE-11,2024-11-14 04:27:09.292504,2024-11-14 04:39:03.692407,Valid investigation for ALT-CSE-11-00087. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00087""]"
CAS-CSE-11-0028,CSE-11,2024-10-04 04:30:55.764903,2024-10-04 05:13:06.235965,Valid investigation for ALT-CSE-11-00090. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00090""]"
CAS-CSE-11-0029,CSE-11,2024-12-11 06:09:53.774711,2024-12-11 06:19:43.051952,Valid investigation for ALT-CSE-11-00095. Checked systems.,ANA-01,True,Resolved,"[""ALT-CSE-11-00095""]"
CAS-CSE-11-0030,CSE-11,2024-12-28 18:24:54.474615,2024-12-28 18:59:23.779870,Valid investigation for ALT-CSE-11-00105. Checked systems.,ANA-02,False,Resolved,"[""ALT-CSE-11-00105""]"
